#,Authors,Title,File Submission,submission type,Time,Abstract
111,"Alexander Urban, Moritz Koegel, Lukas Fink Pielsticker,
Alexander Karaivanov, Nicolaj Kirisits and Zeynep Aksöz
Balzar","Resonant Blech: Emergent Soundscapes Through Human-AI
Interaction",✔,Regular Paper,"Sep 27, 17:06","Resonant Blech is an interdisciplinary project exploring
the intersection of architecture, sound, and artificial
intelligence (AI), transforming architectural objects into
autonomous sonic entities. The project employs a modular
system of lightweight, curved-crease folded steel
structures, capable of interacting with their surroundings
via resonant feedback sounds.

The central research question investigates how AI can be
embodied in an architectural context by autonomously
controlling sound feedback loops that resonate through the
structure. Based on this motivation, the project explores
how these sculptural objects facilitate sound-based
interactions through feedback loops at their inherent
eigenfrequencies.

The goal is to generate dynamic, polyphonic spatial
compositions in collaboration with human performers. The
challenge lies in using AI to control multiple feedback
loops, generating a spatial soundscape that adapts to its
environment. The AI manages signal routing, frequency
filtering, and amplitude adjustments, enabling a fluid
interaction between the structure, its surroundings, and
performers.

Structurally, a modular system of curved-crease folding
objects has been developed. Based on digital folding
simulations and prototypes, the design enables pronounced
resonances while maintaining structural stability. The
modules can be assembled in various configurations to adapt
to performance spaces, with each setup producing unique
sound spatiality and timbre.

This research demonstrates that AI can effectively generate
sound within a modular architectural framework,
transforming built environments into interactive,
performative instruments that offer immersive sensory
experiences."
112,"Zimu Bao, Zilu Wang, Hanzhe Bao and Sky Lo","Digital Twin for Road Traffic Networks:  A Colour
Recognition Approach to Mapping and Simulation",✔,Regular Paper,"Sep 27, 18:02","Digital twin technology has emerged as a transformative
solution for creating dynamic, real-time connections
between physical and virtual environments. This paper
presents a novel system for developing digital twins of
road traffic networks using a low-cost approach based on
colour recognition and the Internet of Things (IoT). The
system enables users to assemble modular physical road
models, which are mapped into virtual counterparts using a
mobile car equipped with a colour sensor. As the car
navigates the physical road model, the sensor captures
surface colours, transmitting the data to a microcontroller
that processes and sends it to a computer for further
analysis. The computer interprets the data to generate an
accurate, interactive virtual road model.The virtual model
integrates seamlessly with virtual reality (VR) technology,
allowing users to explore the road network from a
first-person perspective while supporting bi-directional
interaction—adjustments made in the virtual environment are
dynamically reflected in the physical model. This approach
reduces system complexity and costs while maintaining high
accuracy in physical-to-virtual mapping. At this stage, the
research focuses on validating the feasibility of using
colour recognition for physical-to-virtual mapping in road
traffic networks.Key findings demonstrate the potential of
the system to achieve seamless transformation between
physical and virtual models, laying the groundwork for
future applications. This paper explores the design,
implementation, and verification of the proposed system,
contributing to the development of digital twin
technologies that are user-friendly, cost-effective,
responsive, and reliable."
114,"Quan Zhou, Yize Li, Zejian Li and Immanuel Koh","ConStructGNN: A Graph Neural Network Framework for Adaptive
3D Architectural Layout",✔,Regular Paper,"Sep 27, 21:29","This study proposes a workflow, ConStructGNN, that
integrates geometric, semantic, and topological information
to address the challenges of 3D spatial layout during the
architectural conceptual design stage. ConStructGNN employs
Graph Neural Networks (GNNs) to predict spatial features
and infer layout rules. In the preprocessing phase, a
node-edge graph automatically extracts spatial elements
from building models and encodes them into graph datasets
with 3D nodes and topological relationships. Leveraging
this structured representation, ConStructGNN facilitates
designers to create conceptual layout plans by defining 3D
graphs, which serve as intuitive abstractions of spatial
logic, similar to bubble diagrams in early design stages.
To verify their accuracy, spatial consistency is assessed
using Hausdorff distance to compare predicted and input
graphs. Experimental results on representative cases show
that ConStructGNN achieves a spatial similarity exceeding
95%, demonstrating its effectiveness in generating
consistent architectural spatial layouts and improving the
efficiency of conceptual design."
119,Siyue Zhang and Sky Tian Tian Lo,"Enhancing Hong Kong Architectural Education Through XR: 
Geo-Location and 3D Pin Pointers for Real-Time Information
Visualization",✔,Regular Paper,"Sep 28, 03:39","Traditional architectural education in Hong Kong relies on
static textbooks, limiting students' ability to connect
theoretical knowledge with real-world architectural
experiences. Research has shown that immersive engagement
with architectural spaces enhances student comprehension
and fosters deeper connections to historical content (Hein
& Dooren, 2019). Additionally, static media constrain
students' ability to visualize spatial concepts, making the
translation from two-dimensional to three-dimensional
understanding difficult (Karnam et al., 2020). XR (Extended
Reality) technologies, which include AR and VR, offer
solutions by enabling students to interact with 3D
environments, improving learning outcomes and motivation
(Diao & Shih, 2019). XR’s ability to link virtual content
with real-world architecture makes it particularly
effective for architectural education, where students must
grasp both theoretical and spatial aspects.

This study focuses on developing an XR-based teaching
platform tailored to the architecture of Hong Kong. The
platform superimposes historical and cultural information
onto real buildings, allowing students to interact with
both historical and modern architecture in real-time. A
comparative experiment will be conducted using a Hong Kong
architecture textbook to evaluate the platform’s
effectiveness in enhancing learning efficiency, engagement,
and comprehension compared to traditional methods.

This research aligns with the theme of the CAAD Futures
2025 conference, ""Catalytic Interfaces,"" by demonstrating
how XR can act as a transformative computational tool in
architectural education. The study addresses current and
future challenges in education, fostering interdisciplinary
collaboration between architecture, education, and
technology, and advancing the use of XR in architectural
research and practice.




References:

Diao, P., & Shih, N. (2019). Trends and Research Issues of
Augmented Reality Studies in Architectural and Civil
Engineering Education—A Review of Academic Journal
Publications. Applied Sciences.
https://doi.org/10.3390/APP9091840.

Hein, C., & Dooren, E. (2019). Teaching history for design
at TU Delft: exploring types of student learning and
perceived relevance of history for the architecture
profession. International Journal of Technology and Design
Education, 30, 849 - 865.
https://doi.org/10.1007/s10798-019-09533-5.

Karnam, D., Mashood, K., & Sule, A. (2020). Do student
difficulties with vectors emerge partly from the
limitations of static textbook media? European Journal of
Physics, 41. https://doi.org/10.1088/1361-6404/ab782e."
121,"Xiaoxin Lu, Hanzhe Bao and Tiantian Lo","Enhancing Urban Vitality through Interactive XR
Installations: Fostering Engagement and Environmental
Awareness",✔,Regular Paper,"Sep 28, 03:46","Urban environments are essential to contemporary life;
however, their vitality is increasingly compromised by the
dominance of digital technologies. As traditional functions
of urban spaces shift online, it is critical to reassess
the elements that contribute to their appeal and develop
effective strategies for revitalization. This research
project explores the creation of interactive installations
at strategic points within urban road networks, utilizing
Extended reality (XR) technology to foster meaningful
interactions between individuals and their spatial
contexts. Designed to encourage engagement through
recyclable plastic bottles, these installations gamify the
interaction, promoting environmental awareness alongside
public participation in urban planning processes. Through a
series of case studies, we employed XR to visualize and
manipulate spatial data, enabling real-time user engagement
with their environment. Our findings demonstrate that these
installations enhance accessibility to spatial information
and deepen connections between citizens and their urban
surroundings, with participants reporting increased spatial
awareness and agency in urban discussions. The theoretical
framework established in this research, along with its
preliminary validation, aims to provide insights into
global urban revitalization efforts and facilitate the
evaluation of future design initiatives."
126,"Yufan Meng, Yetong Huang, Zhenyu Wang and Fang Zheng","Stepwise Generation Method for Competition-Level Floor
Plans of Medium and Large-Scale Gymnasiums Based on Rule
Constraints and Diffusion Models",✔,Regular Paper,"Sep 28, 11:15","Intelligent generative algorithms are increasingly
demonstrating substantial potential in architectural
design. However, their applications remain relatively
limited, primarily focusing on image-based generation of
residential layouts and architectural renderings, with
fewer implementations in spatial generation for
architectural space. Sports architecture, characterized by
complex circulation and a large number of spatial elements,
involves a substantial work-load in floor plan design,
highlighting the urgent need to enhance human-computer
interaction. This study takes the competition-level floor
plans of large and medium-sized stadiums as experimental
objects, introducing a hybrid intelligent generative
algorithm that combines rule-based constraints and deep
learning. A two-stage stepwise generation framework is
constructed to incorporate multi-objective optimization
algorithms for functionality, layout, and circulation
within stadium floor plan designs. This approach broadens
the application scenarios of intelligent generative
algorithms in the design of complex public building spaces,
enhancing the scientific rigor, objectivity, and
multi-objective optimization capabilities of the design
process.
The proposed two-stage segmented generation method exhibits
significant po-tential in improving the detail expression
and functional diversity of floor plan layouts. By
integrating stepwise manual intervention, this approach
substantial-ly reduces the reliance on manual design
efforts and subjective expertise, ena-bling architects to
focus more on creativity and high-level design decisions,
thereby improving overall efficiency. Meanwhile, this study
establishes a two-stage evaluation framework comprising
'loss rate screening during the training phase' and
'spatial semantic recognition accuracy assessment', which
collective-ly enhance the controllability and reliability
of the generative outcomes.
 Nevertheless, the current approach still presents
 limitations in supporting the model's capacity to learn
 complex spatial-semantic relationships. Future re-search
 could focus on expanding high-quality annotated datasets,
 refining the hierarchical structure of prompt expressions,
 and further improving the auto-mated evaluation system.
 These efforts will contribute to building a more robust
 theoretical foundation and practical framework for the
 intelligent generation of architectural floor plans in
 high-complexity design scenarios."
127,"Siwen Cao, Hao Sun and Ziyu Tong","BPMN-based building project lifecycle analysis with a core
of BIM: Taking a campus project as an example",✔,Regular Paper,"Sep 28, 11:21","Building Information Modeling (BIM) as a management method
is expected to play an essential role in project
management. China has put forward the practice of “one
model to the end” for the data circulation problem to
ensures the seamless flow of data in the project lifecycle.
However, frequent conversions and re-modeling across
project phases hinder effective data exchange, impacting
efficiency, accuracy, schedules, and costs.
BPMN (Business Process Modeling Notation) has been adopted
for BIM process modelling. However, existing studies mostly
focus on stakeholders and their task allocation, and the
potential of BPMN has not been fully explored for
model-centered BIM processes.
This study takes a campus renovation and expansion project
in Suzhou, China as an example. and BPMN was utilized to
sort out the BIM application flow in each phase of the
project, which was divided into several lanes, including
task flow, stakeholder flow, document flow, BIM model flow,
and drawing flow, to identify the bottlenecks in data flow.
The core of this study is to take the BIM model flow as an
independent swim lane to clearly track model changes to
identify delivery breakpoints. Based on the problems, this
study proposes optimization strategies to improve the
efficiency and accuracy of BIM application in the whole
life cycle of a construction project, and to realize the
“one mode to the end” BIM application process, which
provide realistic reference value for promoting the
in-depth application of BIM technology and the digital
transformation of the construction industry."
128,Dexi Wang and Tsung-Hsien Wang,"A ML-Based Building Energy Performance Evaluation Toolkit
for the Early  Conceptual Design Exploration: Learning from
Energy Performance  Certificates Database",✔,Regular Paper,"Sep 28, 14:02","The construction industry hugely impacts the ecological
environment, with its energy consumption being a
substantial portion of the overall societal energy usage.
Every building commences at the early-stage of design,
during which the available information is too limited to
carry out dynamic simulations but the decisions made are
most impactful.

This study concentrates on combining architectural design
with computer technology to develop a Machine Learning (ML)
based toolkit. The toolkit is advantageous for rapidly
predicting a building’s energy consumption and
environmental impact with relatively little data input.

Based on the Energy Performance Certificates (EPCs)
database, the toolkit examines a substantial quantity of
residential buildings in Sheffield and subsequently trained
the ML model to fit. The Python-based toolkit can be used
on any computer to predict building’s energy consumption,
carbon dioxide emissions, and suggest potential improvement
recommendations with limited user input.

This study admits certain limitations and deficiencies in
the procedure, but it effectively demonstrates the
potential of integrating emerging technologies like
computer technology and ML with architectural design to
address architectural challenges."
132,"Xinyue Xia, Haojie Fan, Shunuo Li, Huangyan Zheng, Haoyi Xu
and Sining Wang","Robotic fabrication and in-situ 3D printing for a hybrid
natural timber-bamboo structure",✔,Regular Paper,"Sep 28, 15:29","With advanced fabrication and computational design methods,
non-standard building structures made from natural
materials such as wood and bamboo are attracting the
attention of architectural researchers. As current studies
primarily focus on the design and fabrication of
single-material systems, this work explores a robotic
fabrication and in-situ 3D printing workflow for a hybrid
natural timber-bamboo structure. It encompasses three major
research components: 1) the scanning and virtual recreation
of collected raw materials; 2) the design of a hybrid
structural system based on the materials’ natural geometric
features and structural performance; 3) a bespoke digital
fabrication process that addresses robotic drill-ing and
in-situ 3D printing for non-standard timber-bamboo joints.
The proposed workflow is illustrated through the creation
of a full-scale structural prototype, along with its future
architectural applications."
133,"Hangchuan Wei, Richard Beckett and Marjan Colletti","Environmental-driven Making: Clay 3D Printing Instructed by
Airflow Data",✔,Regular Paper,"Sep 28, 15:30","Digital fabrication is often regarded as a distinct
materialization process, separate from design, resulting in
a disconnection between digital models and their physical
making. This paper introduces a generative framework for
environmental-driven making using ceramic 3D printing
(3DP). The study examines the plastic deformation of 3DP
ceramic and integrates computational fluid dynamics (CFD)
simulation data to regulate deformation within the design.
This approach generates surface textures with different
roughness that can potentially influence the
bio-receptivity, through which it creates niches for
microbial colonization while also contributing to aesthetic
considerations. The framework is developed primarily using
Houdini, where CFD data continuously informs the generation
of geometry, tool paths, and 3DP instructions. A customized
slicing tool and G-code generator are implemented to
produce G-code programs responsive to CFD data. Unlike
conventional 3DP practices, this integrated approach
enables the production of environmentally responsive
surface textures, establishing a continuous link between
environmental factors, design generation, and digital
fabrication."
134,"Martin Bielik, Milan Valasek, Luyang Zhang, Sven Schneider
and Reinhard König","Floor Plan Affordance Prediction:  Is the floor plan layout
determined by its outline or the architect?",✔,Regular Paper,"Sep 28, 16:00","The process of generating floor plans for residential units
can be a labour-intensive, repetitive, and tedious task. We
argue that if it is possible to determine the
suitability/affordance of an outline for a given program
before engaging into labour-intensive and tedious design
process, significant time and resources could be conserved.

In the present research, we employ deep neural networks to
predict 11 characteristics of a floor plan just from its
outline. The predictive model was trained on an audited
subset (N=20,150) of the open-access Swiss dwellings
dataset (Standfest, et al, 2022). We were able to
accurately predict the number of rooms and the presence or
absence of elements, such as loggia, balcony, open plan
kitchen, natural bathroom ventilation, and 2nd bathroom.
Finally, the model also showed moderate but meaningful
predictive power for features capturing the configurational
properties of a floor plan.

We conclude that the outline of a floor plan does indeed
partially determine the configuration of certain layout
characteristics and that using machine learning models to
predict these characteristics is a viable tool for aiding
the design process of residential units. Additionally,
based on the results we discuss the relevance of our
results for the research into the development of machine
learning tools for automated floorplan generation.

 

Standfest, M., Franzen, M., Schröder, Y., Gonzalez Medina,
L., Villanueva Hernandez, Y., Buck, J. H., Tan, Y.,
Niedzwiecka, M., Colmegna, R (2022) Swiss Dwellings: A
large dataset of apartment models including aggregated
geolocation-based simulation results covering viewshed,
natural light, traffic noise, centrality and geometric
analysis. https://doi.org/10.528/zenodo.7070952"
135,"Martin Bielik, Sven Schneider, Luyang Zhang, Milan Valasek
and Reinhard König","Bridging the Gap: Enhancing AI-Generated Floor Plans with
Multi-Modal Data Integration",✔,Regular Paper,"Sep 28, 16:05","The rapid growth of AI tools for automated floor plan
generation is becoming increasingly evident. These tools
generally employ variations of deep neural networks trained
on extensive datasets of existing floor plans to create new
ones. Typically, the input for these generative models is
the floor plan outline, with some approaches allowing for
additional specifications such as room type, number, and
entrance location.
However, current generative models often fall short in
practical applications due to multiple factors: A) limited
control over the model, B) high variability in the quality
of generated floor plans, and C) unrealistic user requests.
To address these challenges, we leverage the same large
dataset (N=20,150) used for training generative model
(Standfest, et al, 2022) for search and prediction
functionalities. This paper introduces the ""Floor AI""
online platform, integrated directly with CAAD software.
Our user study demonstrates that a multi-modal approach
utilizing the training dataset can mitigate the
deficiencies of current generative models, thereby bridging
the gap between research and practical application.

Standfest, M., Franzen, M., Schröder, Y., Gonzalez Medina,
L., Villanueva Hernandez, Y., Buck, J. H., Tan, Y.,
Niedzwiecka, M., Colmegna, R (2022) Swiss Dwellings: A
large dataset of apartment models including aggregated
geolocation-based simulation results covering viewshed,
natural light, traffic noise, centrality and geometric
analysis. https://doi.org/10.528/zenodo.7070952"
137,Hojung Kim,"Crafting a Participatory Approach towards Traditional
Vietnamese Weaving and Digital Computation",✔,Regular Paper,"Sep 28, 18:37","The braided knot, illustrated by Gottfried Semper,
highlights the deep interconnection between materiality and
craftsmanship, particularly through weaving—a rhythmic
interplay of threads and voids. This concept was
materialized through collaboration with a community of
weavers from Phu Nghia village, Vietnam, resulting in a
modular lighting installation that reflects the region’s
cultural identity. The research aimed to integrate
traditional Vietnamese Bamboo and Rattan Weaving (BRW) with
computational design and digital fabrication, demonstrating
how technology can enhance and preserve craft heritage.
The study focuses on sustainability in material
computation, emphasizing the ethical sourcing of bamboo and
rattan. Bamboo species such as high-density fiber bamboo
grown at high altitudes, Bambuseae (woody tropical
bamboos), and Calamus trees for rattan were used to develop
lightweight, modular objects. Computational tools predicted
weaving outcomes and facilitated the fabrication of
components otherwise impossible by hand.
Preliminary explorations, using Rhino and Grasshopper,
analyzed the structural properties of bamboo rods and
complex weaving techniques. Local artisans provided
feedback, refining these digital models and leading to the
development of twill and plaiting BRW techniques. These
methods were integrated with 3D-printed joinery system,
resulting in a spherical surface of woven panels over an
iron framework.
The research combined qualitative and quantitative
methodologies: a literature review, surveys, and interviews
with artisans, alongside structural testing of 3D-printed
materials like PLA, ABS, Nylon, Carbon Fiber, and PETG
Translucent to assess durability and flexibility. This
hybrid approach highlighted how computational design can
support the preservation and advancement of traditional
weaving crafts."
141,"Jaechang Ko, Sora Key and Mark Clayton",Integrating AI Tools and Methods in the Design Process,✔,Regular Paper,"Sep 29, 00:24","The rapid development of Artificial Intelligence (AI),
particularly through Large Language Models (LLMs) like
MidJourney [1], DALL·E [2], and ChatGPT [3], has brought
significant advancements to creative industries, including
architectural design. These tools excel at generating
ideas, 2D images, and conceptual content. However,
architectural design presents a set of unique challenges;
each project involves shifting design directions,
collaboration dynamics, and evolving communication
strategies[4]. While LLMs are effective in ideation, they
may not fully address architecture's practical, complex
demands.
We conducted a pilot study involving architectural
designers to explore the potential and limitations of
existing LLM tools in practice. Through feedback
collection, we gained insights into three key areas where
LLMs could complement the design process: the visualization
of reference images, the generation of new 3D design ideas,
and the creation of optimized 3D models. Based on these
findings, we selected three additional AI tools to address
these needs: t-distributed stochastic neighbor
embedding(t-SNE) [5], 3D generative adversarial
networks(3DGANs) [6], and Genetic Algorithms (GA) [7]. We
then developed a workflow using these tools, applied to
chair design, and demonstrated it to participants. Their
feedback provided valuable insights into the strengths and
weaknesses of these technologies and directions for how
they could complement existing design processes in the
industry.
This study explored the potential and limitations of
integrating t-SNE, 3DGAN, and GA tools into the
architectural workflow to explore more possibilities beyond
the conventional use of LLMs for image generation. In this
research, we emphasize that, beyond 'design exploration,'
human oversight remains essential in navigating the
practical constraints of real-world projects, and highlight
the need for a more strategic combination of AI tools for
effective integration into the process."
145,"Guy Austern, Moria Schwarz and Boaz Sternfeld","Comparing different Building representations for
readability by Large Language Models",✔,Regular Paper,"Sep 29, 06:16","Large Language Models (LLMs) are able to generate high
quality text, images and even code from a user request. To
date, they have not been extensively used in architecture
where the basic paradigm of designing building using
Building Information Models (BIM) software remains
unaltered. This research evaluates the ability of LLMs to
understand different representations of building data, so
that it can be used in the design process. We tried
different ways of extracting architectural information from
a BIM file and asked the LLM various questions about its
content. We tested the LLM with images, tabular data
structures, La-belled Property Graphs (LPG), IFC files and
the original Revit format. On all formats, we tried two
approaches: directly uploading the extracted information
into the LLM and asking the LLM to generate code for
querying the data. We compared the correctness of the
results provided and the time it took to process the
queries.
The results of this study suggest that graph-based
representations help LLMs answer complex architectural
questions by increasing their capability to process
geometric relations. The results also indicated the high
potential of running code generated by LLMs within BIM
authoring software, dramatically reducing runtimes and
simplifying the overall process. These findings can be
utilized for developing LLM applications such automated
code compliance, scheduling, de-tailing and generative
design, positioning them as powerful tools in the
architec-tural domain."
146,"Joosun Yum, Ji-Hyun Lee and Yu-Hsiu Hung","Optimizing Spatial Design and Visitor Engagement in Tourism
Factories: Analyzing Movement Patterns and Feedback at an
Optical Lens Manufacturer",✔,Regular Paper,"Sep 29, 07:16","This study explores visitor behavior and spatial design in
industrial tourism, with a focus on optimizing engagement
at Hwa Meei’s ""Eye Fun Vision"" tourism factory in Taiwan.
By employing semi-structured shadowing, semi-structured
interviews, and surveys, the research collected data on
visitor movement, engagement, and satisfaction across 21
subareas of the factory. Tools such as customer journey
maps and spaghetti diagrams were used to analyze visitor
flow and identify subareas of high and low engagement. The
findings highlight that subareas fostering creativity and
interactivity, such as ""Frames DIY"" and ""Hand-eye
Coordination Toy,"" were highly engaging, while zones with
dense textual content and minimal interaction, like ""See
Hwa Meei"" and ""Domestic Eyeglasses Industry,"" scored lower
in terms of visitor interest.

Visitor feedback also indicated a strong preference for
more child-friendly activities, immersive experiences, and
improved wayfinding throughout the factory. Recommendations
from the study suggest enhancing low-engagement subareas
with interactive features, adjusting spatial layouts to
reduce congestion in high-traffic zones, and improving
signage and instructions to make the visitor experience
smoother and more intuitive.

The study provides practical insights into how spatial
design can be leveraged to enhance visitor engagement in
industrial tourism settings. By balancing interactive
elements with educational content, factory tours can create
more engaging and memorable experiences. The research
emphasizes the value of visitor-centered design in factory
tours, which not only enriches the visitor experience but
also contributes to the growth and sustainability of the
industrial tourism sector."
148,"Minghao Wang, Chi Zhang, Yuchen Qin and Shen Xu","An Analytical Framework for Urban Morphology to
Synergistically Enhance Outdoor Thermal Comfort and
Building Energy Efficiency",✔,Regular Paper,"Sep 29, 08:43","Urban morphology influences both outdoor thermal comfort
and building energy consumption, however, designs focused
on a single performance ob-jective may inadvertently
undermine another benefit. In response, this study
introduces a framework to examine the synergistic impacts
of urban mor-phology on diverse performance goals,
exemplified by outdoor thermal comfort and building energy
consumption in 25 residential areas in Wuhan. Results show
that winter outdoor thermal comfort is primarily influenced
by floor area ratio (32.10%) and sky view factor (27.83%),
while summer com-fort depends on the aspect ratio of the
plane (24.99%) and building footprint area (17.98%).
Heating energy use is most affected by shape factor
(54.65%), whereas cooling energy use is driven by green
ratio (31.10%) and footprint area (22.97%). Additionally,
summer cooling demand strongly cor-relates with
microclimate. Leveraging these findings, the study
recommends design strategies to achieve synergistic
optimization of outdoor thermal com-fort and building
energy consumption in residential areas."
149,"Zhiyong Dong, Peter Búš, Qi Wang and Maowei Jiang","Enhancing Robotic Embodiment in Architecture: An
Intelligent Approach Combining Vision Systems and
Generative Neural Networks for Autonomous
Design-to-Production",✔,Regular Paper,"Sep 29, 08:52","As architecture increasingly demands complex geometries and
intricate building environments, robotic systems equipped
with intelligent perception and decision-making
capabilities are crucial for bridging the gap be-tween
design and production. This research uses modular
structures as a case study to integrate vision-based
systems, generative neural networks, and cyber-physical
environments to enhance autonomous assembly processes. The
paper demonstrates how robots, through visual recognition
and optimization algorithms, can identify and assemble
components in dynamic environments with minimal human
intervention. OpenCV is employed to recognize irregularly
arranged components and transfer them into the digital
space, then multi-objective optimization (MOO) framework
generates stable assembly plans, which are further refined
using conditional generative adversarial networks (cGANs)
to produce feasible solutions for robotic execution. The
results highlight the potential of intelligent robots to
improve efficiency and adaptability for architectural
design-to-production."
150,"Gal Guz, Nikolas Martelaro, Gerhard Schubert and Jonathan
Dortheimer","Quantifying Architectural Experience Using Visual Language
Models: Does AI Dream of Rendered Spaces?",✔,Regular Paper,"Sep 29, 10:58","Architectural design relies on human intuition and the
personal experience of the architect to assess the
emotional qualities of spaces, posing a challenge since
emotions are subjective. While traditional methods lack
standardized metrics for these subjective experiences,
recent advancements in large language models (LLMs) offer
new possibilities for quantification. This study explores
the potential of visual language models (VLMs) to evaluate
architectural spaces emotionally, bridging the gap between
objective measurements and subjective experiences. We
conducted an experiment using GPT-4o, with vision language
model capabilities, to generate emotional ratings for ten
images depicting various spaces. The model's predictions
were compared to human evaluations obtained through a
survey using the Positive and Negative Affect Schedule
(PANAS). The VLM demonstrated a strong correlation with
human ratings for negative affect and a moderate
correlation for positive affect after excluding
computer-aided design (CAD) images, which showed
discrepancies. The findings highlight the potential of VLMs
to quantify emotional evaluations, offering a novel
approach to integrating emotional metrics into the design
process. This capability could revolutionize architectural
design by enabling optimization based on emotional
prediction."
151,"Sivan Grodsky, Alex Binh Vinh Duc Nguyen, Panos
Chatzitsakyris, Danut Bidasca, Thanasis Farangas, Andrew
Vande Moere and Davide Schaumann","Generating Open Office Layouts using Flexible Architectural
Components",✔,Regular Paper,"Sep 29, 11:02","Open office layouts aim to provide a variety of
workstations that accommodate workers’ diverse activities.
However, designing layouts that cater to continuously
changing schedules is challenging. Daily adjustment of
office layouts using flexible architectural components such
as movable desks and partitions could address this issue.
Nevertheless, little is known about how to dynamically
arrange such layouts to meet workers’ needs while
mitigating visibility-related stressors, including privacy
and distractions. This paper proposes a computational
framework to optimize the daily configuration of office
layouts and workers’ allocation to meet workers’ needs for
daily schedules. The framework integrates architectural
knowledge of spatial layout arrangements with generative
design for automated floorplan creation, and agent-based
simulation of human-centered evaluations. Specifically,
architectural knowledge is gathered and processed using a
graph-based representation used by a generative design
algorithm to synthesize, simulate and evaluate office
layouts, ultimately identifying optimized configurations
that meet workers’ needs. The proposed framework involves:
(a) abstracting architectural knowledge into a library of
zones, fully furnished functional areas that compose a
layout; (b) identifying spatial requirements of a daily
activity schedule; (c) assembling zones into full layouts,
(d) allocating people to zones, (e) arranging flexible
partitions based on visibility and activity adjacency
considerations, and (f) evaluating visibility-related
considerations to rank the optimal ones. The framework
underwent iterative testing to refine the generated layouts
based on feedback collected from professional architectural
designers. The joint optimization of daily office layout
arrangement and workers’ allocation could potentially
accelerate the adoption of flexible architectural
components to promote workers’ well-being."
152,"Fei Guo, Eduardo Costa, Feng Dai and Xin-Nan Zhang","Generative design and modeling of industrial layouts: a
study in semiconductor manufacturing",✔,Regular Paper,"Sep 29, 13:02","Industrial layouts have been investigated for their
potential for cost saving and improving manufacturing
performance. Efficient design depends on the experience and
the suggestions of experts. While generative design has
been applied to conceptualize factory layouts, such
approaches are not yet applied to detailed design work.
Moreover, certain types of factory layouts such as in
semiconductor manufacturing are strictly based on the
respective linear process. Such rule-based systems often
generate layouts packed tightly together on fab and in
subfab with overlapping columns, resulting in complex
design systems that would take designers weeks to detect
and correct irregularities manually. We propose a design
framework supported by a lightweight algorithm to aid
design work efficiently, developed from a real-world case
study from semiconductor manufacturing, and demonstrated
with generative designs and evaluations. As a first step, a
precise manufacturing process that involves hundreds of
iterative operations are encoded into a computational
model, in which the whole fabrication area is automatically
divided into several districts, which are later adjusted by
definite equipment placements. Afterwards, a
constraint-solving optimization algorithm is used to
position processing equipment in bays of sequential regions
in fab and subfab systems areas, reconciling distributed
support systems with column conflicts automatically in 3D
model form. During the generation, evaluation data is
simultaneously collected by geometrical methods for later
multi-objective decisions. This method is expected to be
helpful in facilitating industrial design and decision
making compared with existing methodologies."
153,"Chenyi Cai, Kosuke Kuriyama, Youlong Gu and Pieter Herthogs","Can a Large Language Model Assess Urban Design Quality?
Evaluating Walkability Metrics Across Expertise Levels",✔,Regular Paper,"Sep 29, 13:10","Urban street environments are vital to supporting human
activity in public spaces. The emergence of big data, such
as street view images (SVI) combined with multi-modal large
language models (MLLM), is transforming how researchers and
practitioners investigate, measure, and evaluate semantic
and visual elements of urban environments.
Considering the low threshold for creating automated
evaluative workflows using MLLM, it is crucial to explore
both the risks and opportunities associated with these
probabilistic models.
In particular, the extent to which the integration of
expert knowledge can influence the performance of MLLM in
the evaluation of the quality of urban design has not been
fully explored.
This study set out an initial exploration of how
integrating more formal and structured representations of
expert urban design knowledge into the input prompts of an
MLLM (ChatGPT-4) can enhance the model's capability and
reliability to evaluate the walkability of built
environments using SVIs.
We collect walkability metrics through existing literature
and categorize them using relevant ontologies.
Then we selected a subset of these metrics, used for
assessing the sub-themes of pedestrian safety and
attractiveness, and developed prompts for MLLMs.
We analysed the MLLM’s abilities to evaluate SVI
walkability sub-themes through prompts with multiple levels
of clarity and specificity about evaluation criteria.
Our experiments demonstrate that MLLMs' evaluative
performance can be significantly influenced by the
integration of expert knowledge, while they are capable of
general knowledge-based assessments. Additionally,
increasing semantic clarity in expert knowledge
representations further improves the consistency and
concentration of MLLM's evaluative performance."
